dataset,csv_bytes,rows,cols,codec,bytes,ratio_vs_csv,enc_mbs,dec_mbs
data_posted_street_sweeping_routes_krk7-ayq2.csv,81645,864,5,feather+lz4,38738,2.1076,492.02,716.41
data_posted_street_sweeping_routes_krk7-ayq2.csv,81645,864,5,feather+zstd,23066,3.5396,358.2,580.41
data_posted_street_sweeping_routes_krk7-ayq2.csv,81645,864,5,gzip -9,11778,6.932,19.74,36.47
data_posted_street_sweeping_routes_krk7-ayq2.csv,81645,864,5,lz4 -9,15193,5.3739,24.23,34.4
data_posted_street_sweeping_routes_krk7-ayq2.csv,81645,864,5,orc+snappy,21581,3.7832,177.89,284.42
data_posted_street_sweeping_routes_krk7-ayq2.csv,81645,864,5,orc+zlib,14903,5.4784,118.33,410.6
data_posted_street_sweeping_routes_krk7-ayq2.csv,81645,864,5,orc+zstd,14427,5.6592,171.57,536.75
data_posted_street_sweeping_routes_krk7-ayq2.csv,81645,864,5,parquet+brotli,13095,6.2348,2.68,163.3
data_posted_street_sweeping_routes_krk7-ayq2.csv,81645,864,5,parquet+gzip,14600,5.5921,68.85,170.45
data_posted_street_sweeping_routes_krk7-ayq2.csv,81645,864,5,parquet+snappy,20641,3.9555,171.14,2.88
data_posted_street_sweeping_routes_krk7-ayq2.csv,81645,864,5,parquet+zstd,13602,6.0024,17.32,203.59
data_posted_street_sweeping_routes_krk7-ayq2.csv,81645,864,5,polypress,9178,8.8957,1.86,107.01
data_posted_street_sweeping_routes_krk7-ayq2.csv,81645,864,5,polypress+brotli,8971,9.101,,
data_posted_street_sweeping_routes_krk7-ayq2.csv,81645,864,5,polypress+zstd,10092,8.0901,,
data_posted_street_sweeping_routes_krk7-ayq2.csv,81645,864,5,polypress-turbo,9199,8.8754,2.24,118.17
data_posted_street_sweeping_routes_krk7-ayq2.csv,81645,864,5,xz -9e,10280,7.9421,5.96,25.32
data_posted_street_sweeping_routes_krk7-ayq2.csv,81645,864,5,zstd -19,10826,7.5416,3.02,27.31
data_posted_street_sweeping_routes_krk7-ayq2.csv,81645,864,5,zstd -22,10826,7.5416,1.27,24.47
data_posted_street_sweeping_routes_krk7-ayq2.csv,81645,864,5,zstd -3,14043,5.8139,24.68,29.45
datos_divipola_códigos_municipios_gdxc-w37w.csv,81998,1122,7,brotli -q11,17300,4.7398,1.35,28.09
datos_divipola_códigos_municipios_gdxc-w37w.csv,81998,1122,7,bzip2 -9,17183,4.772,14.55,24.13
datos_divipola_códigos_municipios_gdxc-w37w.csv,81998,1122,7,feather+lz4,53778,1.5247,506.52,731.75
datos_divipola_códigos_municipios_gdxc-w37w.csv,81998,1122,7,feather+zstd,31466,2.6059,351.3,603.38
datos_divipola_códigos_municipios_gdxc-w37w.csv,81998,1122,7,gzip -9,21964,3.7333,10.02,37.86
datos_divipola_códigos_municipios_gdxc-w37w.csv,81998,1122,7,lz4 -9,29370,2.7919,22.52,33.24
datos_divipola_códigos_municipios_gdxc-w37w.csv,81998,1122,7,orc+snappy,31028,2.6427,151.51,286.84
datos_divipola_códigos_municipios_gdxc-w37w.csv,81998,1122,7,orc+zlib,19157,4.2803,94.25,367.83
datos_divipola_códigos_municipios_gdxc-w37w.csv,81998,1122,7,orc+zstd,17947,4.5689,149.08,508.76
datos_divipola_códigos_municipios_gdxc-w37w.csv,81998,1122,7,parquet+brotli,24410,3.3592,1.82,134.03
datos_divipola_códigos_municipios_gdxc-w37w.csv,81998,1122,7,parquet+gzip,27455,2.9866,41.37,168.76
datos_divipola_códigos_municipios_gdxc-w37w.csv,81998,1122,7,parquet+snappy,41271,1.9868,131.02,2.99
datos_divipola_códigos_municipios_gdxc-w37w.csv,81998,1122,7,parquet+zstd,24163,3.3935,12.56,228.37
datos_divipola_códigos_municipios_gdxc-w37w.csv,81998,1122,7,polypress,15254,5.3755,2.04,86.7
datos_divipola_códigos_municipios_gdxc-w37w.csv,81998,1122,7,polypress+brotli,14882,5.5099,,
datos_divipola_códigos_municipios_gdxc-w37w.csv,81998,1122,7,polypress+zstd,17143,4.7832,,
datos_divipola_códigos_municipios_gdxc-w37w.csv,81998,1122,7,polypress-turbo,15275,5.3681,2.47,91.93
datos_divipola_códigos_municipios_gdxc-w37w.csv,81998,1122,7,xz -9e,17640,4.6484,6.12,22.29
datos_divipola_códigos_municipios_gdxc-w37w.csv,81998,1122,7,zstd -19,19187,4.2736,3.95,25.28
datos_divipola_códigos_municipios_gdxc-w37w.csv,81998,1122,7,zstd -22,19188,4.2734,1.41,26.06
